"","GS.Adjusted"
"876",118.720543
"877",122.836815
"878",120.198166
"879",117.647484
"880",115.457451
"881",115.343086
"882",115.290329
"883",116.328201
"884",119.468178
"885",119.142731
"886",121.42952
"887",120.717087
"888",123.355721
"889",122.309067
"890",127.727036
"891",128.562607
"892",128.131607
"893",130.972565
"894",129.283875
"895",128.896851
"896",129.626907
"897",130.348114
"898",129.494888
"899",129.468506
"900",134.2005
"901",132.652481
"902",134.341202
"903",134.737
"904",137.569138
"905",137.138168
"906",136.487274
"907",136.680786
"908",135.361481
"909",131.271606
"910",131.421158
"911",130.242523
"912",129.96109
"913",130.691101
"914",131.227661
"915",129.336624
"916",130.383255
"917",129.06398
"918",126.610023
"919",127.252113
"920",124.727821
"921",122.915977
"922",120.499954
"923",120.738037
"924",123.215782
"925",123.251015
"926",129.872955
"927",128.038895
"928",130.093384
"929",131.50415
"930",132.6064
"931",136.115784
"932",134.493347
"933",134.519806
"934",134.22879
"935",133.126633
"936",133.937866
"937",133.496933
"938",130.560745
"939",127.774414
"940",129.864136
"941",128.735519
"942",127.862595
"943",127.342361
"944",127.483437
"945",130.234482
"946",129.238144
"947",131.883392
"948",133.003159
"949",133.241226
"950",134.608002
"951",134.202347
"952",136.8564
"953",136.433197
"954",133.664505
"955",132.870926
"956",135.524963
"957",138.187851
"958",140.72731
"959",140.462784
"960",139.104919
"961",138.778641
"962",139.572189
"963",141.21228
"964",143.936874
"965",142.076385
"966",142.46434
"967",143.566589
"968",143.399017
"969",146.714401
"970",150.841003
"971",149.192093
"972",146.855453
"973",147.446259
"974",147.878296
"975",146.220627
"976",147.446259
"977",145.57695
"978",145.3918
"979",147.560898
"980",146.961288
"981",142.005844
"982",139.122528
"983",141.30925
"984",139.510468
"985",140.445145
"986",137.979675
"987",140.020996
"988",143.59993
"989",143.432037
"990",143.732452
"991",142.795761
"992",146.816605
"993",147.0905
"994",148.875549
"995",149.768082
"996",147.868164
"997",145.994751
"998",145.331985
"999",144.960815
"1000",146.73703
"1001",148.663498
"1002",149.87413
"1003",148.106812
"1004",150.077347
"1005",149.51181
"1006",148.133255
"1007",148.142075
"1008",148.601608
"1009",152.922928
"1010",152.949387
"1011",153.76239
"1012",152.180603
"1013",150.837357
"1014",150.015564
"1015",149.662048
"1016",151.703384
"1017",151.615051
"1018",154.646027
"1019",154.363312
"1020",147.125839
"1021",146.418884
"1022",146.869598
"1023",146.957947
"1024",143.140411
"1025",142.54834
"1026",144.951996
"1027",142.954773
"1028",144.58963
"1029",146.100754
"1030",145.853333
"1031",145.491028
"1032",145.65892
"1033",147.691422
"1034",148.946289
"1035",146.701675
"1036",146.109589
"1037",147.276108
"1038",148.036072
"1039",148.380692
"1040",149.17598
"1041",147.717926
"1042",148.49559
"1043",143.98877
"1044",144.121292
"1045",144.430603
"1046",145.915176
"1047",145.038498
"1048",142.851151
"1049",143.187637
"1050",145.667221
"1051",142.576614
"1052",140.938309
"1053",142.84227
"1054",143.77211
"1055",141.930099
"1056",142.293228
"1057",140.30069
"1058",139.255676
"1059",136.714172
"1060",137.927383
"1061",141.65564
"1062",141.877014
"1063",142.390625
"1064",141.274811
"1065",141.611359
"1066",139.893356
"1067",138.564957
"1068",140.336151
"1069",140.867462
"1070",140.451294
"1071",141.894775
"1072",140.716934
"1073",140.725739
"1074",143.364746
"1075",143.816391
"1076",142.541153
"1077",142.992813
"1078",142.063019
"1079",141.841644
"1080",137.962753
"1081",137.378342
"1082",136.182831
"1083",134.482513
"1084",135.226379
"1085",135.943741
"1086",134.774719
"1087",135.73114
"1088",135.368073
"1089",133.366714
"1090",133.729736
"1091",133.986572
"1092",134.491379
"1093",134.181396
"1094",133.198425
"1095",132.923859
"1096",132.05603
"1097",133.18956
"1098",130.957932
"1099",126.414932
"1100",125.272606
"1101",124.511009
"1102",124.696945
"1103",124.723534
"1104",123.395203
"1105",119.542999
"1106",120.295677
"1107",120.738457
"1108",120.649925
"1109",120.667625
"1110",123.1092
"1111",124.947075
"1112",120.898491
"1113",119.309227
"1114",120.152664
"1115",118.883049
